id,CE,ENV,BME,PE,METAL,ME,EE,CPE,OPTIC,NANO,CHE,MATENG,AGRI,EDU,IE,SAFETY,MATH,MATSCI
026eval,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
027eval,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1
028eval,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
029eval,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1
030eval,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
031eval,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0
032eval,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
033eval,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
034eval,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1
035eval,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
036eval,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
037eval,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
038eval,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
039eval,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0
040eval,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0
041eval,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
042eval,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
043eval,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
044eval,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
045eval,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1
046eval,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
047eval,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
048eval,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0
049eval,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
050eval,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
051eval,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1
052eval,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
053eval,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
054eval,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
055eval,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
056eval,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
057eval,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1
058eval,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
059eval,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
060eval,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1
061eval,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
062eval,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
063eval,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
064eval,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
065eval,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
066eval,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
067eval,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
068eval,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
069eval,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
070eval,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
071eval,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
072eval,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
073eval,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1
074eval,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
075eval,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
076eval,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
077eval,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
078eval,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
079eval,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
080eval,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
081eval,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1
082eval,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
083eval,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
084eval,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
085eval,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1
086eval,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
087eval,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
088eval,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
089eval,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
090eval,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1
091eval,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
092eval,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
093eval,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
094eval,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
095eval,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
096eval,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
097eval,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1
098eval,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
099eval,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1
100eval,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
101eval,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
102eval,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
103eval,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
104eval,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
105eval,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
106eval,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1
107eval,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
108eval,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
109eval,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
110eval,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0
111eval,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
112eval,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
113eval,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
114eval,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1
115eval,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
116eval,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1
117eval,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
118eval,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
119eval,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1
120eval,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
121eval,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
122eval,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
123eval,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
124eval,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0
125eval,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
126eval,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
127eval,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1
128eval,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
129eval,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
130eval,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
131eval,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0
132eval,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
133eval,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
134eval,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
135eval,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
136eval,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
137eval,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
138eval,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
139eval,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
140eval,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0
141eval,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1
142eval,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
143eval,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
144eval,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
145eval,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1
146eval,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
147eval,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
148eval,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
149eval,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1
150eval,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
151eval,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
